2025-01-15 18:04:14,043 - Epoch 1: {'AUC': 0.4910092353820801, 'Precision': 0.1608465611934662, 'Recall': 0.9806451201438904, 'all_positives': 19.375, 'f1_score_metric': 33.20037078857422, 'loss': 2.335109233856201, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2379.75, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2379.75, 'val_AUC': 0.40308743715286255, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.359956741333008, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:15,774 - Epoch 2: {'AUC': 0.603070080280304, 'Precision': 0.16247381269931793, 'Recall': 1.0, 'all_positives': 19.375, 'f1_score_metric': 33.25678253173828, 'loss': 2.3146824836730957, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2381.25, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2381.25, 'val_AUC': 0.5214408040046692, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.349762439727783, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:17,167 - Epoch 3: {'AUC': 0.6625559329986572, 'Precision': 0.17070485651493073, 'Recall': 1.0, 'all_positives': 19.375, 'f1_score_metric': 32.811737060546875, 'loss': 2.2988152503967285, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2256.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2256.0, 'val_AUC': 0.5111492276191711, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.341012954711914, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:18,588 - Epoch 4: {'AUC': 0.7014093399047852, 'Precision': 0.17089305818080902, 'Recall': 1.0, 'all_positives': 19.375, 'f1_score_metric': 32.96293640136719, 'loss': 2.2798349857330322, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2246.375, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2246.375, 'val_AUC': 0.4991424083709717, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.3304312229156494, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:19,982 - Epoch 5: {'AUC': 0.7265689373016357, 'Precision': 0.17714285850524902, 'Recall': 1.0, 'all_positives': 19.375, 'f1_score_metric': 32.778961181640625, 'loss': 2.2611443996429443, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2186.625244140625, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2186.625, 'val_AUC': 0.5394511222839355, 'val_Precision': 0.1746031790971756, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.729732513427734, 'val_loss': 2.3212006092071533, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 693.0000610351562, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 693.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:21,401 - Epoch 6: {'AUC': 0.7323977947235107, 'Precision': 0.17898383736610413, 'Recall': 1.0, 'all_positives': 19.375, 'f1_score_metric': 32.683406829833984, 'loss': 2.242759943008423, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2173.75, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2173.75, 'val_AUC': 0.5763293504714966, 'val_Precision': 0.1803278774023056, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.638891220092773, 'val_loss': 2.307023763656616, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 671.0000610351562, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 671.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:22,735 - Epoch 7: {'AUC': 0.727259635925293, 'Precision': 0.2259136140346527, 'Recall': 0.8774193525314331, 'all_positives': 19.375, 'f1_score_metric': 29.708282470703125, 'loss': 2.226508378982544, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 1437.875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 1437.875, 'val_AUC': 0.5866209268569946, 'val_Precision': 0.14814814925193787, 'val_Recall': 0.7272727489471436, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.27692222595215, 'val_loss': 2.2970118522644043, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 594.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 594.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:24,168 - Epoch 8: {'AUC': 0.7517805695533752, 'Precision': 0.1843044012784958, 'Recall': 1.0, 'all_positives': 19.375, 'f1_score_metric': 32.55048370361328, 'loss': 2.200390100479126, 'precision_with_threshold_fixed': 2.874999761581421, 'recall_mul_prediction': 2100.5, 'recall_with_threshold_fixed': 0.125, 'true_positives': 2100.5, 'val_AUC': 0.5866209268569946, 'val_Precision': 0.17741934955120087, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.6849308013916, 'val_loss': 2.2820301055908203, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 682.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 682.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:25,576 - Epoch 9: {'AUC': 0.7063318490982056, 'Precision': 0.2179878205060959, 'Recall': 0.9225806593894958, 'all_positives': 19.375, 'f1_score_metric': 30.394716262817383, 'loss': 2.185969591140747, 'precision_with_threshold_fixed': 3.125, 'recall_mul_prediction': 1598.0, 'recall_with_threshold_fixed': 0.25, 'true_positives': 1598.0, 'val_AUC': 0.5754716992378235, 'val_Precision': 0.1627907007932663, 'val_Recall': 0.6363636255264282, 'val_all_positives': 11.0, 'val_f1_score_metric': 17.518518447875977, 'val_loss': 2.280034065246582, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 473.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 473.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:27,173 - Epoch 10: {'AUC': 0.7634382247924805, 'Precision': 0.2032301425933838, 'Recall': 0.9741935133934021, 'all_positives': 19.375, 'f1_score_metric': 31.868715286254883, 'loss': 2.1555442810058594, 'precision_with_threshold_fixed': 8.75, 'recall_mul_prediction': 1839.5, 'recall_with_threshold_fixed': 0.625, 'true_positives': 1839.5, 'val_AUC': 0.5951972603797913, 'val_Precision': 0.16363637149333954, 'val_Recall': 0.8181818723678589, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.333335876464844, 'val_loss': 2.2573142051696777, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 605.0000610351562, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 605.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-15 18:04:28,526 - Epoch 11: {'AUC': 0.7858152389526367, 'Precision': 0.2526690363883972, 'Recall': 0.9161289930343628, 'all_positives': 19.375, 'f1_score_metric': 30.057294845581055, 'loss': 2.127375364303589, 'precision_with_threshold_fixed': 11.124999046325684, 'recall_mul_prediction': 1399.0, 'recall_with_threshold_fixed': 0.625, 'true_positives': 1399.0, 'val_AUC': 0.6003431081771851, 'val_Precision': 0.1702127754688263, 'val_Recall': 0.7272727489471436, 'val_all_positives': 11.0, 'val_f1_score_metric': 17.82758903503418, 'val_loss': 2.2513105869293213, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 517.0000610351562, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 517.0, 'learning_rate': 2.9999999242136255e-05}
