2025-01-15 19:09:38,266 - Epoch 1: {'AUC': 0.48154690861701965, 'Precision': 0.16366367042064667, 'Recall': 0.7077922224998474, 'all_positives': 19.25, 'f1_score_metric': 28.39342498779297, 'loss': 2.340341329574585, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 1570.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 1570.0, 'val_AUC': 0.4382184147834778, 'val_Precision': 0.09375, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.971428871154785, 'val_loss': 2.108208656311035, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 384.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 384.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:39,908 - Epoch 2: {'AUC': 0.5477782487869263, 'Precision': 0.16041667759418488, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 33.039161682128906, 'loss': 2.330948829650879, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2363.75, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2363.75, 'val_AUC': 0.43247127532958984, 'val_Precision': 0.09375, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.971428871154785, 'val_loss': 2.113957166671753, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 384.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 384.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:41,345 - Epoch 3: {'AUC': 0.582172155380249, 'Precision': 0.1599169373512268, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 33.115570068359375, 'loss': 2.3236870765686035, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2372.5, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2372.5, 'val_AUC': 0.4683908522129059, 'val_Precision': 0.09375, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.971428871154785, 'val_loss': 2.116403579711914, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 384.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 384.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:42,597 - Epoch 4: {'AUC': 0.631266713142395, 'Precision': 0.1599169373512268, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 32.98368835449219, 'loss': 2.3177669048309326, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2410.625, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2410.625, 'val_AUC': 0.4712643623352051, 'val_Precision': 0.09375, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.971428871154785, 'val_loss': 2.1170363426208496, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 384.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 384.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:43,920 - Epoch 5: {'AUC': 0.6543151140213013, 'Precision': 0.16008315980434418, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 33.02785873413086, 'loss': 2.3117597103118896, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2361.5, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2361.5, 'val_AUC': 0.4066092371940613, 'val_Precision': 0.09375, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.971428871154785, 'val_loss': 2.1136937141418457, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 384.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 384.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:45,158 - Epoch 6: {'AUC': 0.6697863340377808, 'Precision': 0.16058394312858582, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 33.10570526123047, 'loss': 2.306118965148926, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2354.625, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2354.625, 'val_AUC': 0.4669540524482727, 'val_Precision': 0.09375, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.971428871154785, 'val_loss': 2.1089589595794678, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 384.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 384.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:46,568 - Epoch 7: {'AUC': 0.6855104565620422, 'Precision': 0.1607515662908554, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 32.9210090637207, 'loss': 2.3005104064941406, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2360.875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2360.875, 'val_AUC': 0.4267241358757019, 'val_Precision': 0.09375, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.971428871154785, 'val_loss': 2.1080031394958496, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 384.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 384.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:47,958 - Epoch 8: {'AUC': 0.7042003273963928, 'Precision': 0.1607515662908554, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 33.0584602355957, 'loss': 2.294689178466797, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2353.5, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2353.5, 'val_AUC': 0.43103447556495667, 'val_Precision': 0.09375, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.971428871154785, 'val_loss': 2.105386734008789, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 384.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 384.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:49,222 - Epoch 9: {'AUC': 0.7107018232345581, 'Precision': 0.1607515662908554, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 32.95926284790039, 'loss': 2.289283514022827, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2360.75, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2360.75, 'val_AUC': 0.4454023241996765, 'val_Precision': 0.09375, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.971428871154785, 'val_loss': 2.1064484119415283, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 384.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 384.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:50,638 - Epoch 10: {'AUC': 0.7193585634231567, 'Precision': 0.16091953217983246, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 32.99306869506836, 'loss': 2.2829973697662354, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2409.25, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2409.25, 'val_AUC': 0.40229886770248413, 'val_Precision': 0.0952381044626236, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.956522941589355, 'val_loss': 2.100555181503296, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 378.0000305175781, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 378.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:09:52,048 - Epoch 11: {'AUC': 0.7315629720687866, 'Precision': 0.1624472737312317, 'Recall': 1.0, 'all_positives': 19.25, 'f1_score_metric': 32.997154235839844, 'loss': 2.2767817974090576, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2330.125, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2330.125, 'val_AUC': 0.41954025626182556, 'val_Precision': 0.09677419066429138, 'val_Recall': 1.0, 'val_all_positives': 6.0, 'val_f1_score_metric': 10.941176414489746, 'val_loss': 2.0935006141662598, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 372.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 372.0, 'learning_rate': 9.999999747378752e-06}
