2025-01-15 19:10:47,401 - Epoch 1: {'AUC': 0.5254568457603455, 'Precision': 0.19330289959907532, 'Recall': 0.7257142663002014, 'all_positives': 21.875, 'f1_score_metric': 29.912555694580078, 'loss': 2.328523635864258, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 1815.125, 'recall_with_threshold_fixed': 0.0, 'true_positives': 1815.125, 'val_AUC': 0.41252145171165466, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.29289174079895, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:10:49,251 - Epoch 2: {'AUC': 0.5720776319503784, 'Precision': 0.18443496525287628, 'Recall': 0.9885714054107666, 'all_positives': 21.875, 'f1_score_metric': 36.72981643676758, 'loss': 2.3099184036254883, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2661.875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2661.875, 'val_AUC': 0.44253861904144287, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2899646759033203, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:10:50,754 - Epoch 3: {'AUC': 0.59455406665802, 'Precision': 0.18557795882225037, 'Recall': 1.0, 'all_positives': 21.875, 'f1_score_metric': 36.83146286010742, 'loss': 2.2986936569213867, 'precision_with_threshold_fixed': 6.249999046325684, 'recall_mul_prediction': 2660.625244140625, 'recall_with_threshold_fixed': 0.25, 'true_positives': 2660.625, 'val_AUC': 0.4665523171424866, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2883265018463135, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:10:52,221 - Epoch 4: {'AUC': 0.6321863532066345, 'Precision': 0.18676626682281494, 'Recall': 1.0, 'all_positives': 21.875, 'f1_score_metric': 36.65251541137695, 'loss': 2.2887935638427734, 'precision_with_threshold_fixed': 3.875, 'recall_mul_prediction': 2650.375, 'recall_with_threshold_fixed': 0.375, 'true_positives': 2650.375, 'val_AUC': 0.5077186822891235, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2856717109680176, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:10:53,619 - Epoch 5: {'AUC': 0.639771580696106, 'Precision': 0.18817204236984253, 'Recall': 1.0, 'all_positives': 21.875, 'f1_score_metric': 36.77552032470703, 'loss': 2.280698537826538, 'precision_with_threshold_fixed': 8.624999046325684, 'recall_mul_prediction': 2617.375244140625, 'recall_with_threshold_fixed': 0.375, 'true_positives': 2617.375, 'val_AUC': 0.48970839381217957, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.282703399658203, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:10:54,966 - Epoch 6: {'AUC': 0.6501269340515137, 'Precision': 0.18918919563293457, 'Recall': 1.0, 'all_positives': 21.875, 'f1_score_metric': 36.63875961303711, 'loss': 2.2738122940063477, 'precision_with_threshold_fixed': 7.749999046325684, 'recall_mul_prediction': 2602.250244140625, 'recall_with_threshold_fixed': 0.375, 'true_positives': 2602.25, 'val_AUC': 0.4716981053352356, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2800941467285156, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:10:56,338 - Epoch 7: {'AUC': 0.655609130859375, 'Precision': 0.1898047775030136, 'Recall': 1.0, 'all_positives': 21.875, 'f1_score_metric': 36.71304702758789, 'loss': 2.2661211490631104, 'precision_with_threshold_fixed': 9.374999046325684, 'recall_mul_prediction': 2629.125244140625, 'recall_with_threshold_fixed': 0.5, 'true_positives': 2629.125, 'val_AUC': 0.505145788192749, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.278700828552246, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:10:57,719 - Epoch 8: {'AUC': 0.6542893648147583, 'Precision': 0.19001086056232452, 'Recall': 1.0, 'all_positives': 21.875, 'f1_score_metric': 36.51816940307617, 'loss': 2.2601282596588135, 'precision_with_threshold_fixed': 10.5, 'recall_mul_prediction': 2584.875, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2584.875, 'val_AUC': 0.4725557565689087, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2753562927246094, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:10:59,076 - Epoch 9: {'AUC': 0.6715518832206726, 'Precision': 0.19001086056232452, 'Recall': 1.0, 'all_positives': 21.875, 'f1_score_metric': 36.57854080200195, 'loss': 2.2531321048736572, 'precision_with_threshold_fixed': 12.749998092651367, 'recall_mul_prediction': 2570.625244140625, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2570.625, 'val_AUC': 0.4948541820049286, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2739109992980957, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:11:00,481 - Epoch 10: {'AUC': 0.6696845293045044, 'Precision': 0.19001086056232452, 'Recall': 1.0, 'all_positives': 21.875, 'f1_score_metric': 36.59690856933594, 'loss': 2.2473371028900146, 'precision_with_threshold_fixed': 12.249998092651367, 'recall_mul_prediction': 2598.250244140625, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2598.25, 'val_AUC': 0.5085762739181519, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2726895809173584, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:11:01,910 - Epoch 11: {'AUC': 0.6758629083633423, 'Precision': 0.19141913950443268, 'Recall': 0.9942857027053833, 'all_positives': 21.875, 'f1_score_metric': 36.61274337768555, 'loss': 2.2403926849365234, 'precision_with_threshold_fixed': 12.25, 'recall_mul_prediction': 2551.125244140625, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2551.125, 'val_AUC': 0.49056604504585266, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.268801689147949, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:11:03,325 - Epoch 12: {'AUC': 0.6864612102508545, 'Precision': 0.19659093022346497, 'Recall': 0.9885714054107666, 'all_positives': 21.875, 'f1_score_metric': 36.25864791870117, 'loss': 2.233750104904175, 'precision_with_threshold_fixed': 11.999998092651367, 'recall_mul_prediction': 2491.375244140625, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2491.375, 'val_AUC': 0.49142366647720337, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2673709392547607, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:11:04,698 - Epoch 13: {'AUC': 0.6891080737113953, 'Precision': 0.20000000298023224, 'Recall': 0.9942857027053833, 'all_positives': 21.875, 'f1_score_metric': 36.158966064453125, 'loss': 2.2274763584136963, 'precision_with_threshold_fixed': 8.625, 'recall_mul_prediction': 2468.25, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2468.25, 'val_AUC': 0.4656946659088135, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2663016319274902, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:11:06,038 - Epoch 14: {'AUC': 0.6930456757545471, 'Precision': 0.20374707877635956, 'Recall': 0.9942857027053833, 'all_positives': 21.875, 'f1_score_metric': 36.154685974121094, 'loss': 2.2205612659454346, 'precision_with_threshold_fixed': 13.624998092651367, 'recall_mul_prediction': 2380.25, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2380.25, 'val_AUC': 0.46740996837615967, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2637977600097656, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:11:07,627 - Epoch 15: {'AUC': 0.7017621994018555, 'Precision': 0.2064439207315445, 'Recall': 0.9885714054107666, 'all_positives': 21.875, 'f1_score_metric': 36.018898010253906, 'loss': 2.213705539703369, 'precision_with_threshold_fixed': 10.749999046325684, 'recall_mul_prediction': 2391.125, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2391.125, 'val_AUC': 0.4777015447616577, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2627720832824707, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:11:09,013 - Epoch 16: {'AUC': 0.7015083432197571, 'Precision': 0.21621622145175934, 'Recall': 0.9599999785423279, 'all_positives': 21.875, 'f1_score_metric': 35.223060607910156, 'loss': 2.2085025310516357, 'precision_with_threshold_fixed': 12.625, 'recall_mul_prediction': 2156.375, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2156.375, 'val_AUC': 0.4734134078025818, 'val_Precision': 0.1803278774023056, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.638891220092773, 'val_loss': 2.259296417236328, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 671.0000610351562, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 671.0, 'learning_rate': 9.999999747378752e-06}
2025-01-15 19:11:10,385 - Epoch 17: {'AUC': 0.7136439681053162, 'Precision': 0.21590909361839294, 'Recall': 0.977142870426178, 'all_positives': 21.875, 'f1_score_metric': 35.745540618896484, 'loss': 2.2001166343688965, 'precision_with_threshold_fixed': 11.999998092651367, 'recall_mul_prediction': 2274.75, 'recall_with_threshold_fixed': 0.625, 'true_positives': 2274.75, 'val_AUC': 0.46740996837615967, 'val_Precision': 0.171875, 'val_Recall': 1.0, 'val_all_positives': 11.0, 'val_f1_score_metric': 18.773334503173828, 'val_loss': 2.2599759101867676, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 704.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 704.0, 'learning_rate': 9.999999747378752e-06}
