2025-01-08 11:11:02,726 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.300274521112442, 'all_positives': 11.116347312927246, 'f1_score_metric': 8.749784469604492, 'loss': 1.1233474016189575, 'precision_with_threshold_fixed': 8.846631050109863, 'recall_mul_prediction': 110.70265197753906, 'recall_with_threshold_fixed': 3.6521739959716797, 'true_positives': 110.70265197753906, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.32020998001098633, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 2.1366028785705566, 'val_loss': 0.5771164894104004, 'val_precision_with_threshold_fixed': 1.4308255910873413, 'val_recall_mul_prediction': 39.00016403198242, 'val_recall_with_threshold_fixed': 0.9166666865348816, 'val_true_positives': 39.000160217285156, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:11:14,849 - Epoch 2: {'AUC': 0.0, 'Precision': 1.0000001192092896, 'Recall': 0.3411118686199188, 'all_positives': 11.116347312927246, 'f1_score_metric': 9.73940658569336, 'loss': 1.0735825300216675, 'precision_with_threshold_fixed': 11.109823226928711, 'recall_mul_prediction': 126.68949890136719, 'recall_with_threshold_fixed': 5.8913044929504395, 'true_positives': 126.68949890136719, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 0.0, 'val_loss': 0.4814009368419647, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:11:26,587 - Epoch 3: {'AUC': 0.0, 'Precision': 0.9999999403953552, 'Recall': 0.32258063554763794, 'all_positives': 11.116347312927246, 'f1_score_metric': 9.543659210205078, 'loss': 1.0557879209518433, 'precision_with_threshold_fixed': 11.101908683776855, 'recall_mul_prediction': 118.6312255859375, 'recall_with_threshold_fixed': 5.82608699798584, 'true_positives': 118.63121032714844, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.09711286425590515, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.9900493621826172, 'val_loss': 0.5157690048217773, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 19.675609588623047, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 19.675609588623047, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:11:37,726 - Epoch 4: {'AUC': 0.0, 'Precision': 0.9999999403953552, 'Recall': 0.32258063554763794, 'all_positives': 11.116345405578613, 'f1_score_metric': 9.975289344787598, 'loss': 1.0469541549682617, 'precision_with_threshold_fixed': 11.115955352783203, 'recall_mul_prediction': 119.97653198242188, 'recall_with_threshold_fixed': 6.4782609939575195, 'true_positives': 119.97653198242188, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.05249343812465668, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 2.221891403198242, 'val_loss': 0.49162372946739197, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 12.36069107055664, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 12.36069107055664, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:11:49,511 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3160603940486908, 'all_positives': 11.116348266601562, 'f1_score_metric': 9.76453685760498, 'loss': 1.047141432762146, 'precision_with_threshold_fixed': 11.011086463928223, 'recall_mul_prediction': 120.33985900878906, 'recall_with_threshold_fixed': 6.695652484893799, 'true_positives': 120.33985900878906, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.036745406687259674, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.5409988164901733, 'val_loss': 0.46962496638298035, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 9.374757766723633, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 9.374757766723633, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:12:01,318 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.29890185594558716, 'all_positives': 11.116347312927246, 'f1_score_metric': 9.492249488830566, 'loss': 1.0352002382278442, 'precision_with_threshold_fixed': 11.115447998046875, 'recall_mul_prediction': 110.61433410644531, 'recall_with_threshold_fixed': 6.3152174949646, 'true_positives': 110.61432647705078, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.06824146956205368, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 2.207780361175537, 'val_loss': 0.47195810079574585, 'val_precision_with_threshold_fixed': 1.1358306407928467, 'val_recall_mul_prediction': 17.0977783203125, 'val_recall_with_threshold_fixed': 0.5833333730697632, 'val_true_positives': 17.0977783203125, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:12:12,954 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.31434452533721924, 'all_positives': 11.116348266601562, 'f1_score_metric': 9.566507339477539, 'loss': 1.0398821830749512, 'precision_with_threshold_fixed': 11.152273178100586, 'recall_mul_prediction': 118.17000579833984, 'recall_with_threshold_fixed': 6.67391300201416, 'true_positives': 118.17000579833984, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.007874015718698502, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 0.36054977774620056, 'val_loss': 0.467157244682312, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1.9391316175460815, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1.939131736755371, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:12:24,724 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.29066574573516846, 'all_positives': 11.116347312927246, 'f1_score_metric': 9.14416217803955, 'loss': 1.036469578742981, 'precision_with_threshold_fixed': 11.116347312927246, 'recall_mul_prediction': 111.62152099609375, 'recall_with_threshold_fixed': 6.5, 'true_positives': 111.62151336669922, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.14960630238056183, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 0.2820015847682953, 'val_loss': 0.536823570728302, 'val_precision_with_threshold_fixed': 1.9699859619140625, 'val_recall_mul_prediction': 20.883831024169922, 'val_recall_with_threshold_fixed': 0.75, 'val_true_positives': 20.883831024169922, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:12:36,248 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.30507892370224, 'all_positives': 11.11634635925293, 'f1_score_metric': 9.360464096069336, 'loss': 1.0313585996627808, 'precision_with_threshold_fixed': 11.11634635925293, 'recall_mul_prediction': 114.6677017211914, 'recall_with_threshold_fixed': 6.6413044929504395, 'true_positives': 114.6677017211914, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.08136482536792755, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.4756982326507568, 'val_loss': 0.4966035485267639, 'val_precision_with_threshold_fixed': 1.1358306407928467, 'val_recall_mul_prediction': 17.108570098876953, 'val_recall_with_threshold_fixed': 0.4166666865348816, 'val_true_positives': 17.108570098876953, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:12:48,026 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.2807137966156006, 'all_positives': 11.116345405578613, 'f1_score_metric': 8.974761009216309, 'loss': 1.0305589437484741, 'precision_with_threshold_fixed': 11.086374282836914, 'recall_mul_prediction': 108.40999603271484, 'recall_with_threshold_fixed': 6.25, 'true_positives': 108.40998840332031, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.044619422405958176, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.644828200340271, 'val_loss': 0.46621644496917725, 'val_precision_with_threshold_fixed': 0.6463772654533386, 'val_recall_mul_prediction': 10.069257736206055, 'val_recall_with_threshold_fixed': 0.2499999850988388, 'val_true_positives': 10.069257736206055, 'learning_rate': 9.999999747378752e-05}
2025-01-08 11:12:59,710 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0000001192092896, 'Recall': 0.2975291609764099, 'all_positives': 11.116345405578613, 'f1_score_metric': 9.39309310913086, 'loss': 1.0217769145965576, 'precision_with_threshold_fixed': 11.12678337097168, 'recall_mul_prediction': 110.53651428222656, 'recall_with_threshold_fixed': 6.695652484893799, 'true_positives': 110.53651428222656, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.06561680138111115, 'val_all_positives': 0.3605427145957947, 'val_f1_score_metric': 1.1657626628875732, 'val_loss': 0.48229050636291504, 'val_precision_with_threshold_fixed': 0.877877414226532, 'val_recall_mul_prediction': 10.91743278503418, 'val_recall_with_threshold_fixed': 0.4166666865348816, 'val_true_positives': 10.917433738708496, 'learning_rate': 9.999999747378752e-05}
