2025-01-13 14:33:52,504 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25228118896484, 'loss': 5.516083240509033, 'precision_with_threshold_fixed': 66.37201690673828, 'recall_mul_prediction': 13613.6171875, 'recall_with_threshold_fixed': 61.5, 'true_positives': 13613.6171875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 5.339352607727051, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:33:54,412 - Epoch 2: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25227355957031, 'loss': 5.254336833953857, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13615.4228515625, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13615.4228515625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 5.133670806884766, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:33:55,915 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92278289794922, 'f1_score_metric': 115.25232696533203, 'loss': 5.048483848571777, 'precision_with_threshold_fixed': 109.92278289794922, 'recall_mul_prediction': 13614.943359375, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13614.9423828125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 4.928391456604004, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:33:57,421 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25225067138672, 'loss': 4.844818115234375, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13613.015625, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13613.015625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 4.7274932861328125, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:33:58,912 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92278289794922, 'f1_score_metric': 115.25231170654297, 'loss': 4.6469597816467285, 'precision_with_threshold_fixed': 109.92278289794922, 'recall_mul_prediction': 13614.8173828125, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13614.81640625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 4.5346550941467285, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:34:00,456 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25230407714844, 'loss': 4.45877742767334, 'precision_with_threshold_fixed': 109.92278289794922, 'recall_mul_prediction': 13613.060546875, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13613.0595703125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 4.351066589355469, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:34:01,979 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25221252441406, 'loss': 4.277647495269775, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13613.9140625, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13613.9130859375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 4.1741437911987305, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:34:03,441 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92278289794922, 'f1_score_metric': 115.25225067138672, 'loss': 4.1035895347595215, 'precision_with_threshold_fixed': 109.92277526855469, 'recall_mul_prediction': 13615.7568359375, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13615.7548828125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 4.004274845123291, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:34:04,940 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.2522964477539, 'loss': 3.936302423477173, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13613.4365234375, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13613.4365234375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 3.840733051300049, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:34:06,443 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.2522201538086, 'loss': 3.775542736053467, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13613.9111328125, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13613.9111328125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 3.683727979660034, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:34:07,951 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25228881835938, 'loss': 3.6210694313049316, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13613.630859375, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13613.6318359375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 3.5328969955444336, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:34:09,438 - Epoch 12: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.25232696533203, 'loss': 3.472658634185791, 'precision_with_threshold_fixed': 109.92279815673828, 'recall_mul_prediction': 13614.7265625, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13614.7265625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 3.3879663944244385, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-13 14:34:10,941 - Epoch 13: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 1.0, 'all_positives': 109.92279052734375, 'f1_score_metric': 115.2522964477539, 'loss': 3.3300740718841553, 'precision_with_threshold_fixed': 109.92279052734375, 'recall_mul_prediction': 13614.017578125, 'recall_with_threshold_fixed': 121.125, 'true_positives': 13614.0166015625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 58.194129943847656, 'val_f1_score_metric': 60.959136962890625, 'val_loss': 3.248716354370117, 'val_precision_with_threshold_fixed': 58.194129943847656, 'val_recall_mul_prediction': 3724.42431640625, 'val_recall_with_threshold_fixed': 64.0, 'val_true_positives': 3724.42431640625, 'learning_rate': 9.999999747378752e-05}
