2025-01-08 16:28:05,323 - Epoch 1: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.02863883972168, 'f1_score_metric': 0.0, 'loss': 0.22247277200222015, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.10074881464242935, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:28:29,768 - Epoch 2: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.028642654418945, 'f1_score_metric': 0.0, 'loss': 0.233285054564476, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.11740203201770782, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:28:54,367 - Epoch 3: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.028636932373047, 'f1_score_metric': 0.0, 'loss': 0.21543996036052704, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.09488917887210846, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:29:19,190 - Epoch 4: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.02863311767578, 'f1_score_metric': 0.0, 'loss': 0.2118268609046936, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.09752620756626129, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:29:44,516 - Epoch 5: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.028642654418945, 'f1_score_metric': 0.0, 'loss': 0.22691424190998077, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.10168550908565521, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:30:10,071 - Epoch 6: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.02864646911621, 'f1_score_metric': 0.0, 'loss': 0.2246110737323761, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.1230454221367836, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:30:35,777 - Epoch 7: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.028650283813477, 'f1_score_metric': 0.0, 'loss': 0.2115096002817154, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.09513915330171585, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:31:01,633 - Epoch 8: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.02864646911621, 'f1_score_metric': 0.0, 'loss': 0.22038425505161285, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.0935688465833664, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:31:26,840 - Epoch 9: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.02863883972168, 'f1_score_metric': 0.0, 'loss': 0.2126229852437973, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.09741971641778946, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:31:52,467 - Epoch 10: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.028642654418945, 'f1_score_metric': 0.0, 'loss': 0.21110278367996216, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.09528928250074387, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:32:18,114 - Epoch 11: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.02864646911621, 'f1_score_metric': 0.0, 'loss': 0.21007536351680756, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.1011120155453682, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:32:44,509 - Epoch 12: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.028642654418945, 'f1_score_metric': 0.0, 'loss': 0.21598927676677704, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.1008695662021637, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:33:10,847 - Epoch 13: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.02863883972168, 'f1_score_metric': 0.0, 'loss': 0.21739956736564636, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.0959291160106659, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:33:37,217 - Epoch 14: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.02864646911621, 'f1_score_metric': 0.0, 'loss': 0.22017674148082733, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.0871635302901268, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:34:03,083 - Epoch 15: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.028636932373047, 'f1_score_metric': 0.0, 'loss': 0.21230217814445496, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.08580954372882843, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:34:28,937 - Epoch 16: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.028642654418945, 'f1_score_metric': 0.0, 'loss': 0.211708202958107, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.09180305898189545, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:34:54,849 - Epoch 17: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.02863311767578, 'f1_score_metric': 0.0, 'loss': 0.2064843624830246, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.09045745432376862, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:35:21,161 - Epoch 18: {'AUC': 0.0, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 21.028636932373047, 'f1_score_metric': 0.0, 'loss': 0.2023882120847702, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 0.0, 'val_loss': 0.08996114134788513, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
