2025-01-08 16:54:53,987 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.28309524059295654, 'all_positives': 21.028636932373047, 'f1_score_metric': 17.898332595825195, 'loss': 0.9860076308250427, 'precision_with_threshold_fixed': 20.19807243347168, 'recall_mul_prediction': 385.478271484375, 'recall_with_threshold_fixed': 8.847715377807617, 'true_positives': 385.4781799316406, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.26771652698516846, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 15.34066390991211, 'val_loss': 0.6825884580612183, 'val_precision_with_threshold_fixed': 13.439814567565918, 'val_recall_mul_prediction': 761.8675537109375, 'val_recall_with_threshold_fixed': 9.291666984558105, 'val_true_positives': 761.867431640625, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:55:19,280 - Epoch 2: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.31833335757255554, 'all_positives': 21.02863883972168, 'f1_score_metric': 19.805551528930664, 'loss': 0.9453825354576111, 'precision_with_threshold_fixed': 21.028642654418945, 'recall_mul_prediction': 433.46722412109375, 'recall_with_threshold_fixed': 12.604061126708984, 'true_positives': 433.46728515625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.2769028842449188, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 15.645011901855469, 'val_loss': 0.6823227405548096, 'val_precision_with_threshold_fixed': 13.057833671569824, 'val_recall_mul_prediction': 777.0616455078125, 'val_recall_with_threshold_fixed': 12.166666984558105, 'val_true_positives': 777.0616455078125, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:55:45,097 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.32007938623428345, 'all_positives': 21.02863883972168, 'f1_score_metric': 19.90148162841797, 'loss': 0.9366061687469482, 'precision_with_threshold_fixed': 21.02863883972168, 'recall_mul_prediction': 442.8283386230469, 'recall_with_threshold_fixed': 13.319796562194824, 'true_positives': 442.8283386230469, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.27952754497528076, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 16.073034286499023, 'val_loss': 0.6733612418174744, 'val_precision_with_threshold_fixed': 13.05783462524414, 'val_recall_mul_prediction': 773.6725463867188, 'val_recall_with_threshold_fixed': 11.708333969116211, 'val_true_positives': 773.672607421875, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:56:10,759 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.31436508893966675, 'all_positives': 21.028650283813477, 'f1_score_metric': 19.60124969482422, 'loss': 0.9299876689910889, 'precision_with_threshold_fixed': 21.028650283813477, 'recall_mul_prediction': 429.89739990234375, 'recall_with_threshold_fixed': 13.233502388000488, 'true_positives': 429.8973693847656, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.24146981537342072, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 15.026302337646484, 'val_loss': 0.6741785407066345, 'val_precision_with_threshold_fixed': 13.190357208251953, 'val_recall_mul_prediction': 668.4942626953125, 'val_recall_with_threshold_fixed': 8.833333969116211, 'val_true_positives': 668.4942626953125, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:56:36,886 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3112698495388031, 'all_positives': 21.02863883972168, 'f1_score_metric': 19.40668296813965, 'loss': 0.9266644716262817, 'precision_with_threshold_fixed': 21.02863883972168, 'recall_mul_prediction': 427.6347961425781, 'recall_with_threshold_fixed': 13.045684814453125, 'true_positives': 427.6347961425781, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.2139107584953308, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 14.08726692199707, 'val_loss': 0.6736144423484802, 'val_precision_with_threshold_fixed': 13.347084045410156, 'val_recall_mul_prediction': 595.5401611328125, 'val_recall_with_threshold_fixed': 7.875, 'val_true_positives': 595.5401611328125, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:57:02,827 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.30198413133621216, 'all_positives': 21.02863883972168, 'f1_score_metric': 19.375926971435547, 'loss': 0.917710542678833, 'precision_with_threshold_fixed': 21.02863883972168, 'recall_mul_prediction': 418.6059265136719, 'recall_with_threshold_fixed': 12.868019104003906, 'true_positives': 418.6059265136719, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.28346455097198486, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 16.165523529052734, 'val_loss': 0.6726898550987244, 'val_precision_with_threshold_fixed': 13.47829818725586, 'val_recall_mul_prediction': 781.9884033203125, 'val_recall_with_threshold_fixed': 14.416666984558105, 'val_true_positives': 781.98828125, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:57:28,627 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.3100000023841858, 'all_positives': 21.028644561767578, 'f1_score_metric': 19.537378311157227, 'loss': 0.9146665930747986, 'precision_with_threshold_fixed': 21.028644561767578, 'recall_mul_prediction': 431.4328918457031, 'recall_with_threshold_fixed': 13.7868013381958, 'true_positives': 431.4328918457031, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.25131234526634216, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 15.379568099975586, 'val_loss': 0.6659137606620789, 'val_precision_with_threshold_fixed': 13.99280071258545, 'val_recall_mul_prediction': 707.8182373046875, 'val_recall_with_threshold_fixed': 9.333333969116211, 'val_true_positives': 707.8182373046875, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:57:54,782 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.29253968596458435, 'all_positives': 21.028644561767578, 'f1_score_metric': 18.87813377380371, 'loss': 0.9088497757911682, 'precision_with_threshold_fixed': 21.02864646911621, 'recall_mul_prediction': 401.355712890625, 'recall_with_threshold_fixed': 12.766497611999512, 'true_positives': 401.355712890625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.29199475049972534, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 16.679481506347656, 'val_loss': 0.6875888109207153, 'val_precision_with_threshold_fixed': 14.665887832641602, 'val_recall_mul_prediction': 733.3494873046875, 'val_recall_with_threshold_fixed': 12.791666984558105, 'val_true_positives': 733.3494873046875, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:58:21,494 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.2988095283508301, 'all_positives': 21.02863883972168, 'f1_score_metric': 19.182344436645508, 'loss': 0.9067136645317078, 'precision_with_threshold_fixed': 21.02863883972168, 'recall_mul_prediction': 414.0973815917969, 'recall_with_threshold_fixed': 12.75126838684082, 'true_positives': 414.0973815917969, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.2860892415046692, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 16.383556365966797, 'val_loss': 0.6744825839996338, 'val_precision_with_threshold_fixed': 13.697992324829102, 'val_recall_mul_prediction': 756.994140625, 'val_recall_with_threshold_fixed': 12.875, 'val_true_positives': 756.994140625, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:58:48,072 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.2899206578731537, 'all_positives': 21.02864646911621, 'f1_score_metric': 18.799571990966797, 'loss': 0.9023523926734924, 'precision_with_threshold_fixed': 21.02864646911621, 'recall_mul_prediction': 406.9890441894531, 'recall_with_threshold_fixed': 12.634517669677734, 'true_positives': 406.9890441894531, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.2696850299835205, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 15.931327819824219, 'val_loss': 0.6780773401260376, 'val_precision_with_threshold_fixed': 14.315486907958984, 'val_recall_mul_prediction': 712.7887573242188, 'val_recall_with_threshold_fixed': 10.416666984558105, 'val_true_positives': 712.7886962890625, 'learning_rate': 9.999999747378752e-05}
2025-01-08 16:59:14,674 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.29103174805641174, 'all_positives': 21.028642654418945, 'f1_score_metric': 18.837657928466797, 'loss': 0.8940642476081848, 'precision_with_threshold_fixed': 21.028642654418945, 'recall_mul_prediction': 404.1599426269531, 'recall_with_threshold_fixed': 12.868020057678223, 'true_positives': 404.1599426269531, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.27165353298187256, 'val_all_positives': 12.66895866394043, 'val_f1_score_metric': 16.21263885498047, 'val_loss': 0.6717010736465454, 'val_precision_with_threshold_fixed': 14.315488815307617, 'val_recall_mul_prediction': 714.4180908203125, 'val_recall_with_threshold_fixed': 11.666666984558105, 'val_true_positives': 714.4180908203125, 'learning_rate': 9.999999747378752e-05}
