2025-01-14 14:19:51,711 - Epoch 1: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.5645604729652405, 'all_positives': 60.21312713623047, 'f1_score_metric': 53.63422775268555, 'loss': 0.5954738259315491, 'precision_with_threshold_fixed': 60.21312713623047, 'recall_mul_prediction': 4090.256591796875, 'recall_with_threshold_fixed': 7.000000953674316, 'true_positives': 4090.25634765625, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 0.0, 'val_loss': 0.533532440662384, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:19:52,863 - Epoch 2: {'AUC': 0.0, 'Precision': 0.9999999403953552, 'Recall': 0.29395604133605957, 'all_positives': 60.21312713623047, 'f1_score_metric': 25.794116973876953, 'loss': 0.5502444505691528, 'precision_with_threshold_fixed': 27.968090057373047, 'recall_mul_prediction': 1932.9354248046875, 'recall_with_threshold_fixed': 0.6666666865348816, 'true_positives': 1932.9354248046875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 1.0, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 42.777015686035156, 'val_loss': 0.49949774146080017, 'val_precision_with_threshold_fixed': 32.38229751586914, 'val_recall_mul_prediction': 2040.085205078125, 'val_recall_with_threshold_fixed': 1.0, 'val_true_positives': 2040.0850830078125, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:19:54,144 - Epoch 3: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.5631868243217468, 'all_positives': 60.21312713623047, 'f1_score_metric': 52.0943717956543, 'loss': 0.5117177963256836, 'precision_with_threshold_fixed': 31.6646785736084, 'recall_mul_prediction': 4308.04833984375, 'recall_with_threshold_fixed': 0.8333333730697632, 'true_positives': 4308.0478515625, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 0.0, 'val_loss': 0.4658169150352478, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:19:55,437 - Epoch 4: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.2032967060804367, 'all_positives': 60.21312713623047, 'f1_score_metric': 33.54490280151367, 'loss': 0.4772503674030304, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 1528.30712890625, 'recall_with_threshold_fixed': 0.0, 'true_positives': 1528.3070068359375, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 0.0, 'val_loss': 0.43369215726852417, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:19:56,568 - Epoch 5: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.12087912112474442, 'all_positives': 60.21312713623047, 'f1_score_metric': 22.911571502685547, 'loss': 0.44465431571006775, 'precision_with_threshold_fixed': 7.397347450256348, 'recall_mul_prediction': 896.5775146484375, 'recall_with_threshold_fixed': 0.1666666716337204, 'true_positives': 896.577392578125, 'val_AUC': 0.0, 'val_Precision': 1.0000001192092896, 'val_Recall': 0.8730159401893616, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 40.76401138305664, 'val_loss': 0.4010685086250305, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1781.0267333984375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1781.026611328125, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:19:57,634 - Epoch 6: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.7390109896659851, 'all_positives': 60.213130950927734, 'f1_score_metric': 68.69032287597656, 'loss': 0.41379690170288086, 'precision_with_threshold_fixed': 32.12888717651367, 'recall_mul_prediction': 5648.2216796875, 'recall_with_threshold_fixed': 1.1666667461395264, 'true_positives': 5648.220703125, 'val_AUC': 0.0, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 0.0, 'val_loss': 0.3713744580745697, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:19:58,737 - Epoch 7: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.10989011079072952, 'all_positives': 60.21312713623047, 'f1_score_metric': 17.540199279785156, 'loss': 0.3840990662574768, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 694.7382202148438, 'recall_with_threshold_fixed': 0.0, 'true_positives': 694.7381591796875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.9841270446777344, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 42.54405212402344, 'val_loss': 0.3426975905895233, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 2007.7025146484375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 2007.70263671875, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:20:00,035 - Epoch 8: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.7980769276618958, 'all_positives': 60.213130950927734, 'f1_score_metric': 73.7098388671875, 'loss': 0.35649773478507996, 'precision_with_threshold_fixed': 52.82600402832031, 'recall_mul_prediction': 6003.4365234375, 'recall_with_threshold_fixed': 1.1666667461395264, 'true_positives': 6003.4365234375, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.9523810148239136, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 42.0629997253418, 'val_loss': 0.3165149986743927, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1942.9384765625, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1942.938232421875, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:20:01,139 - Epoch 9: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.4780219793319702, 'all_positives': 60.21312713623047, 'f1_score_metric': 58.862640380859375, 'loss': 0.3291279971599579, 'precision_with_threshold_fixed': 7.5207743644714355, 'recall_mul_prediction': 3551.36376953125, 'recall_with_threshold_fixed': 0.1666666716337204, 'true_positives': 3551.36328125, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.9047619700431824, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 41.30104064941406, 'val_loss': 0.29130819439888, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1845.7911376953125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1845.791259765625, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:20:02,184 - Epoch 10: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.509615421295166, 'all_positives': 60.213130950927734, 'f1_score_metric': 60.80134201049805, 'loss': 0.3049069046974182, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 3807.65966796875, 'recall_with_threshold_fixed': 0.0, 'true_positives': 3807.6591796875, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.7301587462425232, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 38.00822067260742, 'val_loss': 0.2685604691505432, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1489.5860595703125, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1489.5859375, 'learning_rate': 0.0003000000142492354}
2025-01-14 14:20:03,265 - Epoch 11: {'AUC': 0.0, 'Precision': 1.0, 'Recall': 0.4079670310020447, 'all_positives': 60.21312713623047, 'f1_score_metric': 53.23617172241211, 'loss': 0.28282690048217773, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 2963.44140625, 'recall_with_threshold_fixed': 0.0, 'true_positives': 2963.44140625, 'val_AUC': 0.0, 'val_Precision': 1.0, 'val_Recall': 0.9206349849700928, 'val_all_positives': 32.382301330566406, 'val_f1_score_metric': 41.560646057128906, 'val_loss': 0.24746866524219513, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 1878.173583984375, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 1878.173583984375, 'learning_rate': 0.0003000000142492354}
