2025-01-14 23:03:41,111 - Epoch 1: {'AUC': 0.5131454467773438, 'Precision': 0.42553192377090454, 'Recall': 0.023923445492982864, 'all_positives': 39.80952453613281, 'f1_score_metric': 2.2345309257507324, 'loss': 1.791970133781433, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 98.14286041259766, 'recall_with_threshold_fixed': 0.0, 'true_positives': 98.14286041259766, 'val_AUC': 0.545771598815918, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.5286822319030762, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 23:03:44,145 - Epoch 2: {'AUC': 0.5222196578979492, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.0, 'loss': 1.6583201885223389, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.5328683853149414, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.509739875793457, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 23:03:47,437 - Epoch 3: {'AUC': 0.5818163752555847, 'Precision': 0.6666666865348816, 'Recall': 0.002392344642430544, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.2793586552143097, 'loss': 1.6139249801635742, 'precision_with_threshold_fixed': 4.142857074737549, 'recall_mul_prediction': 6.2857136726379395, 'recall_with_threshold_fixed': 0.095238097012043, 'true_positives': 6.285714626312256, 'val_AUC': 0.5211857557296753, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.494651198387146, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 23:03:50,498 - Epoch 4: {'AUC': 0.6087154150009155, 'Precision': 1.0, 'Recall': 0.003588516963645816, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.2789410352706909, 'loss': 1.5849872827529907, 'precision_with_threshold_fixed': 4.095237731933594, 'recall_mul_prediction': 5.90476131439209, 'recall_with_threshold_fixed': 0.095238097012043, 'true_positives': 5.904761791229248, 'val_AUC': 0.5030514597892761, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.4775760173797607, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 23:03:53,454 - Epoch 5: {'AUC': 0.6223855018615723, 'Precision': 1.0, 'Recall': 0.004784689284861088, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.37236592173576355, 'loss': 1.5589231252670288, 'precision_with_threshold_fixed': 6.428570747375488, 'recall_mul_prediction': 8.333332061767578, 'recall_with_threshold_fixed': 0.1428571492433548, 'true_positives': 8.333333015441895, 'val_AUC': 0.5062772631645203, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.4600427150726318, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 23:03:56,283 - Epoch 6: {'AUC': 0.6216228008270264, 'Precision': 1.0, 'Recall': 0.008373206481337547, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.649932861328125, 'loss': 1.5370128154754639, 'precision_with_threshold_fixed': 10.285713195800781, 'recall_mul_prediction': 13.380950927734375, 'recall_with_threshold_fixed': 0.2380952388048172, 'true_positives': 13.380952835083008, 'val_AUC': 0.5054054260253906, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.4347591400146484, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 23:03:59,180 - Epoch 7: {'AUC': 0.6375687122344971, 'Precision': 1.0, 'Recall': 0.004784689284861088, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.3715782165527344, 'loss': 1.5123988389968872, 'precision_with_threshold_fixed': 5.666666030883789, 'recall_mul_prediction': 7.619047164916992, 'recall_with_threshold_fixed': 0.1428571492433548, 'true_positives': 7.61904764175415, 'val_AUC': 0.5012205839157104, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.4118584394454956, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 2.9999999242136255e-05}
2025-01-14 23:04:02,256 - Epoch 8: {'AUC': 0.6447697877883911, 'Precision': 1.0, 'Recall': 0.008373206481337547, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.6462899446487427, 'loss': 1.4965990781784058, 'precision_with_threshold_fixed': 9.666666030883789, 'recall_mul_prediction': 13.476189613342285, 'recall_with_threshold_fixed': 0.2380952388048172, 'true_positives': 13.476190567016602, 'val_AUC': 0.5261552333831787, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.4189231395721436, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.989999853132758e-06}
2025-01-14 23:04:05,204 - Epoch 9: {'AUC': 0.6442898511886597, 'Precision': 1.0, 'Recall': 0.008373206481337547, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.6492278575897217, 'loss': 1.4891366958618164, 'precision_with_threshold_fixed': 7.999999523162842, 'recall_mul_prediction': 13.285713195800781, 'recall_with_threshold_fixed': 0.190476194024086, 'true_positives': 13.285714149475098, 'val_AUC': 0.5104621052742004, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.4051765203475952, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.989999853132758e-06}
2025-01-14 23:04:08,341 - Epoch 10: {'AUC': 0.6496354341506958, 'Precision': 1.0, 'Recall': 0.007177033927291632, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.5542617440223694, 'loss': 1.4813389778137207, 'precision_with_threshold_fixed': 8.7619047164917, 'recall_mul_prediction': 12.428571701049805, 'recall_with_threshold_fixed': 0.2380952388048172, 'true_positives': 12.428571701049805, 'val_AUC': 0.5134263634681702, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.3992071151733398, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.989999853132758e-06}
2025-01-14 23:04:11,698 - Epoch 11: {'AUC': 0.6503240466117859, 'Precision': 1.0, 'Recall': 0.009569378569722176, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.7288838028907776, 'loss': 1.4741936922073364, 'precision_with_threshold_fixed': 5.999999523162842, 'recall_mul_prediction': 15.095236778259277, 'recall_with_threshold_fixed': 0.190476194024086, 'true_positives': 15.09523868560791, 'val_AUC': 0.5178727507591248, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.3997142314910889, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.989999853132758e-06}
2025-01-14 23:04:14,713 - Epoch 12: {'AUC': 0.6508246660232544, 'Precision': 1.0, 'Recall': 0.008373206481337547, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.6484405994415283, 'loss': 1.4669758081436157, 'precision_with_threshold_fixed': 8.857142448425293, 'recall_mul_prediction': 12.428569793701172, 'recall_with_threshold_fixed': 0.2380952388048172, 'true_positives': 12.428571701049805, 'val_AUC': 0.5152572393417358, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.3868954181671143, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.989999853132758e-06}
2025-01-14 23:04:17,827 - Epoch 13: {'AUC': 0.6542377471923828, 'Precision': 1.0, 'Recall': 0.008373206481337547, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.6502576470375061, 'loss': 1.4599381685256958, 'precision_with_threshold_fixed': 9.809523582458496, 'recall_mul_prediction': 13.523808479309082, 'recall_with_threshold_fixed': 0.2380952388048172, 'true_positives': 13.523809432983398, 'val_AUC': 0.5148212909698486, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.3779710531234741, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.989999853132758e-06}
2025-01-14 23:07:03,953 - Epoch 1: {'AUC': 0.503049373626709, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 39.80952453613281, 'f1_score_metric': 0.09235209226608276, 'loss': 1.7832540273666382, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 1.5238093137741089, 'recall_with_threshold_fixed': 0.0, 'true_positives': 1.523809552192688, 'val_AUC': 0.6053181886672974, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 18.5, 'val_f1_score_metric': 0.0, 'val_loss': 1.524151086807251, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 2.9999999242136255e-05}
