2025-01-08 21:23:46,530 - build_posterior_wrapper took 0.000471 seconds
2025-01-08 21:23:46,530 - TPE using 0 trials
2025-01-08 21:24:22,152 - Epoch 1: {'AUC': 0.5329695343971252, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 0.4563462734222412, 'f1_score_metric': 0.0, 'loss': 0.0020640245638787746, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.5491495132446289, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 0.3956209123134613, 'val_f1_score_metric': 0.0, 'val_loss': 0.00016283516015391797, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 21:24:37,741 - Epoch 2: {'AUC': 0.5231155157089233, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 0.456346333026886, 'f1_score_metric': 0.0, 'loss': 0.0007649780018255115, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.5806715488433838, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 0.3956209123134613, 'val_f1_score_metric': 0.0, 'val_loss': 0.00014339930203277618, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 21:24:38,816 - build_posterior_wrapper took 0.000354 seconds
2025-01-08 21:24:38,817 - TPE using 1/1 trials with best loss 0.820000
2025-01-08 21:33:34,802 - Epoch 1: {'AUC': 0.5303494930267334, 'Precision': 1.0, 'Recall': 0.0005620684241876006, 'all_positives': 0.456346333026886, 'f1_score_metric': 0.01227001752704382, 'loss': 0.010091694071888924, 'precision_with_threshold_fixed': 0.0009721746318973601, 'recall_mul_prediction': 0.00955826323479414, 'recall_with_threshold_fixed': 0.0025380703154951334, 'true_positives': 0.009558266960084438, 'val_AUC': 0.5981886386871338, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 0.3956209123134613, 'val_f1_score_metric': 0.0, 'val_loss': 0.00898128654807806, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 21:34:22,654 - Epoch 2: {'AUC': 0.5912052392959595, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 0.45634615421295166, 'f1_score_metric': 0.0, 'loss': 0.009220017120242119, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.6234371662139893, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 0.3956209123134613, 'val_f1_score_metric': 0.0, 'val_loss': 0.008640948683023453, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 21:35:01,166 - Epoch 1: {'AUC': 0.4948805570602417, 'Precision': 1.0, 'Recall': 0.00032615786767564714, 'all_positives': 0.4562966227531433, 'f1_score_metric': 0.005920615047216415, 'loss': 0.004359734244644642, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.00415943143889308, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.004159432835876942, 'val_AUC': 0.5748398303985596, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 0.3956209123134613, 'val_f1_score_metric': 0.0, 'val_loss': 0.00015027305926196277, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-08 21:35:14,502 - Epoch 2: {'AUC': 0.5556113719940186, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 0.4562964141368866, 'f1_score_metric': 0.0, 'loss': 0.0012515829876065254, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.5629555583000183, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 0.3956209123134613, 'val_f1_score_metric': 0.0, 'val_loss': 0.00014650492812506855, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 13:39:54,415 - Epoch 1: {'AUC': 0.5982452630996704, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 3.8032596111297607, 'f1_score_metric': 0.0, 'loss': 0.02108987793326378, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.6247404217720032, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 3.433793544769287, 'val_f1_score_metric': 0.0, 'val_loss': 0.01790517196059227, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 13:40:32,887 - Epoch 2: {'AUC': 0.5823214650154114, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 3.8032608032226562, 'f1_score_metric': 0.0, 'loss': 0.020126037299633026, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.6136735677719116, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 3.433793544769287, 'val_f1_score_metric': 0.0, 'val_loss': 0.017380988225340843, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 13:45:15,944 - Epoch 1: {'AUC': 0.5493502020835876, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 4.246875762939453, 'f1_score_metric': 0.0, 'loss': 0.02433733083307743, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.850649356842041, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 3.1831889152526855, 'val_f1_score_metric': 0.0, 'val_loss': 0.01791750267148018, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 13:45:25,274 - Epoch 2: {'AUC': 0.5373646020889282, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 4.246874809265137, 'f1_score_metric': 0.0, 'loss': 0.023580392822623253, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.7135217189788818, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 3.1831889152526855, 'val_f1_score_metric': 0.0, 'val_loss': 0.018075192347168922, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 13:46:24,507 - Epoch 1: {'AUC': 0.5949052572250366, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 4.2468767166137695, 'f1_score_metric': 0.0, 'loss': 0.02418329380452633, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.798701286315918, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 3.1831889152526855, 'val_f1_score_metric': 0.0, 'val_loss': 0.017605427652597427, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
2025-01-09 13:46:36,263 - Epoch 2: {'AUC': 0.625112771987915, 'Precision': 0.0, 'Recall': 0.0, 'all_positives': 4.246876239776611, 'f1_score_metric': 0.0, 'loss': 0.02302916906774044, 'precision_with_threshold_fixed': 0.0, 'recall_mul_prediction': 0.0, 'recall_with_threshold_fixed': 0.0, 'true_positives': 0.0, 'val_AUC': 0.6371275186538696, 'val_Precision': 0.0, 'val_Recall': 0.0, 'val_all_positives': 3.1831889152526855, 'val_f1_score_metric': 0.0, 'val_loss': 0.017805106937885284, 'val_precision_with_threshold_fixed': 0.0, 'val_recall_mul_prediction': 0.0, 'val_recall_with_threshold_fixed': 0.0, 'val_true_positives': 0.0, 'learning_rate': 9.999999747378752e-05}
