Stock,Cluster
A,0
AAPL,0
ABBV,0
ABNB,1
ABT,0
ACN,0
ADBE,1
ADI,1
ADM,0
ADP,0
ADSK,1
AEP,0
AFL,0
AIG,0
AJG,0
ALB,3
ALGN,1
AMAT,3
AMD,3
AME,0
AMGN,0
AMP,0
AMT,0
AMZN,1
ANET,3
ANSS,0
AON,0
APD,0
APH,1
APTV,1
ARE,0
ARM,4
ASML,3
AVB,0
AVGO,3
AXON,1
AXP,0
AZN,0
AZO,0
BA,1
BAC,0
BDX,0
BIIB,0
BK,0
BKNG,0
BKR,1
BLK,0
BMY,1
BRK-B,0
BSX,0
BXP,1
C,1
CAG,0
CARR,1
CAT,1
CB,0
CCEP,0
CCI,0
CDNS,1
CDW,1
CEG,3
CHTR,1
CI,0
CL,0
CMCSA,0
CME,0
CMG,1
CMI,0
CNC,1
COF,1
COP,0
COR,0
COST,0
CPRT,0
CRM,1
CRWD,3
CSCO,0
CSGP,1
CSX,0
CTAS,0
CTSH,0
CTVA,0
CVS,1
CVX,0
D,0
DASH,1
DD,0
DDOG,1
DE,0
DG,3
DHI,1
DHR,0
DIS,0
DLR,0
DLTR,3
DOV,0
DOW,0
DUK,0
DVN,0
DXCM,4
EA,0
EBAY,0
ECL,0
ED,0
EFX,1
EL,1
ELV,0
EMR,0
EOG,0
EQIX,0
EQR,0
ESS,0
ETN,1
EW,1
EXC,0
EXR,0
F,1
FANG,1
FAST,0
FCX,1
FDX,1
FI,0
FIS,0
FITB,0
FOX,0
FOXA,0
FTNT,1
GD,0
GE,1
GFS,3
GILD,0
GIS,0
GLW,0
GM,1
GOOGL,1
GPN,1
GS,1
GWW,0
HAL,1
HBAN,1
HCA,0
HD,0
HES,0
HIG,0
HLT,0
HON,0
HSY,0
HUM,1
IBM,0
ICE,0
IDXX,0
INTC,4
INTU,1
IQV,1
IRM,0
ISRG,0
ITW,0
JCI,0
JNJ,0
JPM,0
KDP,0
KEYS,1
KHC,0
KLAC,3
KMB,0
KMI,0
KO,0
KR,0
KVUE,0
LEN,1
LHX,0
LIN,0
LLY,1
LMT,0
LOW,0
LRCX,3
LULU,1
LVS,1
MA,0
MAR,0
MCD,0
MCHP,1
MCK,0
MCO,0
MDLZ,0
MDT,0
MELI,1
MET,0
META,1
MLM,0
MMC,0
MMM,1
MNST,0
MO,0
MPC,1
MRK,0
MRNA,3
MRVL,3
MS,0
MSCI,0
MSFT,0
MSI,0
MSTR,2
MTB,0
MU,3
NEE,0
NEM,1
NFLX,1
NKE,1
NOC,0
NOW,1
NSC,1
NTRS,0
NUE,1
NVDA,3
NWS,0
NWSA,0
NXPI,1
O,0
ODFL,1
OKE,0
ON,3
ORCL,1
ORLY,0
OTIS,0
OXY,0
PANW,1
PAYX,0
PCAR,1
PDD,3
PEG,0
PEP,0
PFE,0
PG,0
PGR,0
PH,0
PLD,0
PLTR,3
PM,0
PNC,0
PPG,0
PRU,0
PSA,0
PSX,0
PWR,1
PYPL,1
QCOM,1
REGN,0
RF,0
ROK,1
ROP,0
ROST,0
RSG,0
RTX,0
SBUX,1
SCHW,0
SHW,0
SLB,0
SNPS,1
SO,0
SPG,0
SPGI,0
SPOT,1
SRE,0
STT,0
STZ,0
SYK,0
SYY,0
T,0
TDG,0
TEAM,3
TEL,0
TFC,0
TGT,1
TJX,0
TMO,0
TMUS,0
TRGP,0
TRV,0
TSLA,3
TT,0
TXN,1
UDR,0
UNH,0
UNP,0
UPS,0
URI,1
USB,0
V,0
VICI,0
VLO,1
VMC,0
VRSK,0
VRTX,0
VTR,0
VZ,0
WAT,1
WBD,3
WDAY,1
WELL,0
WFC,1
WM,0
WMB,0
WMT,0
WST,1
XEL,0
XOM,0
YUM,0
ZBH,0
ZS,3
ZTS,0
