Orig_Ticker,Date,y-value,y-predict,y-predict-original,y-predict-binary,Score,Threshold,Target,Target-Val,Next-Day-Open,Final-Price
AMZN,2025-01-16 00:00:00-05:00,0.0,0.82456297,0.82456297,True,1,0.2160822004079818,Next-Day-High-To-Next-Day-Open-Ratio,0.0188753872101057,225.83999633789065,230.1028137162972
BABA,2025-01-16 00:00:00-05:00,1.0,0.5278879,0.5278879,True,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,82.0199966430664,83.14729274453659
F,2025-01-16 00:00:00-05:00,1.0,0.5385533,0.5385533,True,1,0.537758469581604,Next-Day-Close-To-Next-Day-Open-Ratio,0.0147600729050207,9.90999984741211,10.056272167648658
GOOG,2025-01-16 00:00:00-05:00,0.0,0.8055361,0.8055361,True,2,0.2559094130992889,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137477163340392,198.11000061035156,200.833560701679
INTC,2025-01-16 00:00:00-05:00,0.0,0.78657556,0.78657556,True,1,0.4417917728424072,Next-Day-High-To-Next-Day-Open-Ratio,0.0306835851274047,21.260000228881836,21.912333255713378
MSTR,2025-01-16 00:00:00-05:00,0.0,0.56973594,0.56973594,True,3,0.5275546312332153,Next-Day-Close-To-Next-Day-Open-Ratio,0.0577391331994314,383.68499755859375,405.83863673925293
PLTR,2025-01-16 00:00:00-05:00,0.0,0.5802653,0.5802653,True,3,0.1371277272701263,Next-Day-Close-To-Next-Day-Open-Ratio,0.0333309920894908,70.80000305175781,73.15983739341188
QQQ,2025-01-16 00:00:00-05:00,0.0,0.55885875,0.55885875,True,1,0.5584074854850769,Next-Day-High-To-Next-Day-Open-Ratio,0.0115252392304473,522.9400024414062,528.9670110727142
RGTI,2025-01-16 00:00:00-05:00,0.0,0.50670266,0.50670266,True,1,0.5029070377349854,Next-Day-Close-To-Next-Day-Open-Ratio,0.0976245317389415,10.529999732971191,11.557986026113683
UNH,2025-01-16 00:00:00-05:00,0.0,0.7825073,0.7825073,True,2,0.605671226978302,Next-Day-High-To-Next-Day-Open-Ratio,0.0181473763258406,530.3499755859375,539.9744361772958
WMT,2025-01-16 00:00:00-05:00,0.0,0.5231534,0.5231534,True,2,0.5230937004089355,Next-Day-Close-To-Next-Day-Open-Ratio,0.0091682857708154,91.5,92.3388981480296
Orig_Ticker,Date,y-value,y-predict,y-predict-original,y-predict-binary,Score,Threshold,Target,Target-Val,Next-Day-Open,Final-Price
AMZN,2025-01-16 00:00:00-05:00,0.0,0.82456315,0.82456315,True,1,0.2160822004079818,Next-Day-High-To-Next-Day-Open-Ratio,0.0188753872101057,225.83999633789065,230.1028137162972
BABA,2025-01-16 00:00:00-05:00,1.0,0.5278608,0.5278608,True,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,83.19999694824219,84.34351116478432
F,2025-01-16 00:00:00-05:00,0.0,0.53841245,0.53841245,True,1,0.537758469581604,Next-Day-Close-To-Next-Day-Open-Ratio,0.0147600729050207,10.079999923706056,10.228781457462562
GOOG,2025-01-16 00:00:00-05:00,0.0,0.8055382,0.8055382,True,2,0.2559094130992889,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137477163340392,198.0500030517578,200.77273831366898
INTC,2025-01-16 00:00:00-05:00,0.0,0.78622407,0.78622407,True,1,0.4417917728424072,Next-Day-High-To-Next-Day-Open-Ratio,0.0306835851274047,21.260000228881836,21.912333255713378
MSTR,2025-01-16 00:00:00-05:00,0.0,0.56973606,0.56973606,True,3,0.5275546312332153,Next-Day-Close-To-Next-Day-Open-Ratio,0.0577391331994314,383.2799987792969,405.41025368149263
PLTR,2025-01-16 00:00:00-05:00,0.0,0.5895495,0.5895495,True,3,0.1371277272701263,Next-Day-Close-To-Next-Day-Open-Ratio,0.0333309920894908,70.9000015258789,73.26316891588287
QQQ,2025-01-16 00:00:00-05:00,0.0,0.55885845,0.55885845,True,1,0.5584074854850769,Next-Day-High-To-Next-Day-Open-Ratio,0.0115252392304473,522.8499755859375,528.8759466361989
RGTI,2025-01-16 00:00:00-05:00,0.0,0.5064302,0.5064302,True,1,0.5029070377349854,Next-Day-Close-To-Next-Day-Open-Ratio,0.0976245317389415,10.529999732971191,11.557986026113683
SPY,2025-01-16 00:00:00-05:00,0.0,0.54452485,0.54452485,True,1,0.5442274808883667,Next-Day-High-To-Next-Day-Open-Ratio,0.0081667592224351,596.9600219726562,601.8352507375265
UNH,2025-01-16 00:00:00-05:00,1.0,0.801127,0.801127,True,2,0.605671226978302,Next-Day-High-To-Next-Day-Open-Ratio,0.0181473763258406,505.6199951171875,514.7956714464488
WMT,2025-01-16 00:00:00-05:00,0.0,0.52343583,0.52343583,True,2,0.5230937004089355,Next-Day-Close-To-Next-Day-Open-Ratio,0.0091682857708154,92.06999969482422,92.91412376294524
